datetime,Consumption (kWh),homeid
2017-12-13,22.373549722222222,70
2017-12-14,12.024265555555555,70
2017-12-15,16.71676666666667,70
2017-12-18,14.895034444444445,70
2017-12-19,9.224693055555555,70
2017-12-20,12.6009975,70
2017-12-21,9.243385555555555,70
2017-12-22,13.115009722222222,70
2017-12-23,8.158574444444444,70
2017-12-24,10.4264525,70
2017-12-29,6.987325,70
2017-12-30,13.144508611111112,70
2017-12-31,2.347499722222222,70
2018-01-01,13.21319138888889,70
2018-01-02,18.094630833333333,70
2018-01-03,10.978549444444445,70
2018-01-04,11.184819166666667,70
2018-01-05,12.965390555555556,70
2018-01-06,11.295717777777778,70
2018-01-07,15.855945555555556,70
2018-01-08,18.049130833333333,70
2018-01-09,18.165211944444444,70
2018-01-10,17.34954111111111,70
2018-01-11,17.031510555555556,70
